,vendor_name,img,name,carbohydrates,fats,proteins,calories
100,4003715,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/45/69/5f1f6aab49bbedcbe8020438553d.jpg,"Тунец скипджек филе-кусок Новый Океан, 185г",0.0,0.6,25.0,105.0
101,4003717,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/8e/a5/e19ea5b2863e354f0f3ba5476d1e.jpg,"Тунец скипджек рубленый Новый Океан, 185г",0.0,0.8,15.0,70.0
102,4186335,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/6c/d8/c3dddac961961da6f9688637dfd0.jpg,"Тунец полосатый мелко рубленный Пр!ст, 185г",,2.0,20.0,100.0
103,72318,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/57/60/30b4831481918f7ec77292324750.jpg,"Тунец Fortuna полосатый рубленый, 185г",0.0,0.9,20.8,91.6
104,4003714,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/81/21/3655432d7f6ae91447b5b34ef249.jpg,"Тунец скипджек филе-кусок в масле Новый Океан, 185г",0.0,4.0,24.0,130.0
105,2143227,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/92/b4/f68c9f59b2a9f5f8b979237452e7.jpg,"Говядина Барс Экстра тушёная высший сорт ГОСТ, 325г",,17.0,15.0,213.0
106,4189729,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/38/26/8c3460710b44fa8a33d8c32b38e9.jpg,"Говядина Классическая тушеная Пр!ст, 325г",,16.0,9.5,180.0
107,2157147,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/89/c6/ea06901cb6012ed0c7c106820675.jpg,"Говядина Скопинский МК тушёная высший сорт ГОСТ, 500г",,17.0,15.0,213.0
108,3408258,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f6/0f/fd93db4055de4cdc96119b9906ea.jpg,"Говядина кусковая Гродфуд тушёная в собственном соку, 338г",0.0,25.0,15.0,290.0
109,36602,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/24/c8/2b26f426f4a00d05668276685324.jpg,"Говядина Главпродукт Экстра тушёная высший сорт, 338г",,17.0,15.0,213.0
